Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,4056758.62,26870.17,18.107,21.35,150.98
BUFFALO MEAT,1350563.49,26033.83,6.028,20.685,51.88
NON BASMATI RICE,8648488.58,22967.82,38.601,18.249,376.55
CASHEW KERNELS,90017.42,5945.28,0.402,4.724,15.14
GUARGUM,494101.27,4169.56,2.205,3.313,118.5
CEREAL PREPARATIONS,353237.23,3559.87,1.577,2.828,99.23
GROUNDNUTS,504019.2,3386.3,2.25,2.691,148.84
FRESH ONIONS,1588985.72,3088.82,7.092,2.454,514.43
MISCELLANEOUS PREPARATIONS,331670.05,2947.11,1.48,2.342,112.54
"PROCESSED FRUITS, JUICES & NUTS",317353.16,2647.84,1.416,2.104,119.85
PROCESSED VEGETABLES,226483.9,2211.59,1.011,1.757,102.41
ALCOHOLIC BEVERAGES,241235.47,2105.87,1.077,1.673,114.55
FRESH GRAPES,188221.18,1899.95,0.84,1.51,99.07
OTHER FRESH VEGETABLES,739055.09,1882.32,3.299,1.496,392.63
PULSES,180193.86,1473.26,0.804,1.171,122.31
OTHER FRESH FRUITS,321157.55,1443.76,1.433,1.147,222.45
JAGGERY & CONFECTIONERY,252142.85,1380.35,1.125,1.097,182.67
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),220939.2,1285.22,0.986,1.021,171.91
MAIZE,705513.84,1228.46,3.149,0.976,574.31
DAIRY PRODUCTS,48039.4,1196.19,0.214,0.95,40.16
COCOA PRODUCTS,29582.58,1144.37,0.132,0.909,25.85
MILLED PRODUCTS,270377.3,876.59,1.207,0.696,308.44
SHEEP/GOAT MEAT,21906.51,835.75,0.098,0.664,26.21
MANGO PULP,110923.72,673.92,0.495,0.535,164.59
FRUITS & VEGETABLES SEEDS,14463.14,670.9,0.065,0.533,21.56
NATURAL HONEY,51547.31,653.58,0.23,0.519,78.87
WHEAT,322790.14,624.37,1.441,0.496,516.99
POULTRY PRODUCTS,453966.53,552.16,2.026,0.439,822.16
FLORICULTURE,20703.46,507.31,0.092,0.403,40.81
FRESH MANGOES,49180.48,382.34,0.22,0.304,128.63
Millet,156274.02,370.07,0.698,0.294,422.28
ANIMAL CASINGS,12424.66,327.44,0.055,0.26,37.94
OTHERS (BETEL LEAVES & NUTS),13185.92,137.52,0.059,0.109,95.88
WALNUTS,3595.69,127.21,0.016,0.101,28.27
CASEIN,2670.47,104.68,0.012,0.083,25.51
ALBUMIN( Eggs & Milk ),2081.99,83.72,0.009,0.067,24.87
CARDANOL,5530.21,24.99,0.025,0.02,221.3
OTHER MEAT,1044.43,16.43,0.005,0.013,63.57
PROCESSED MEAT,269.66,9.91,0.001,0.008,27.21
CASHEWNUT SHELL LIQUID,2794.95,7.63,0.012,0.006,366.31
OTHER CEREALS,1344.02,3.63,0.006,0.003,370.25
Total,22404834.27,125858.09,100.0,100.0,178.02
